Date,Away team,home team,away score,home score
2021-09-07,Twins,Indians,3,0
2021-09-07,Tigers,Pirates,2,3
2021-09-07,Mets,Marlins,9,4
2021-09-07,Blue Jays,Yankees,5,1
2021-09-07,Royals,Orioles,3,7
2021-09-07,Rays,Red Sox,12,7
2021-09-07,Nationals,Braves,5,8
2021-09-07,Reds,Cubs,4,3
2021-09-07,Phillies,Brewers,0,10
2021-09-07,Dodgers,Cardinals,7,2
2021-09-07,Mariners,Astros,4,5
2021-09-07,Giants,Rockies,12,3
2021-09-07,White Sox,Athletics,6,3
2021-09-07,Rangers,Diamondbacks,3,1
2021-09-07,Angels,Padres,4,0
2021-09-08,Mariners,Astros,8,5
2021-09-08,Giants,Rockies,7,4
2021-09-08,Rangers,Diamondbacks,8,5
2021-09-08,Twins,Indians,3,0
2021-09-08,Tigers,Pirates,5,1
2021-09-08,Mets,Marlins,1,2
2021-09-08,Royals,Orioles,8,9
2021-09-08,Blue Jays,Yankees,6,3
2021-09-08,Rays,Red Sox,1,2
2021-09-08,Nationals,Braves,4,2
2021-09-08,Phillies,Brewers,3,4
2021-09-08,Reds,Cubs,1,4
2021-09-08,Dodgers,Cardinals,4,5
2021-09-08,Angels,Padres,5,8
2021-09-08,White Sox,Athletics,1,5
2021-09-02,Phillies,Nationals,7,6
2021-09-02,Athletics,Tigers,8,6
2021-09-02,Brewers,Giants,1,5
2021-09-02,Marlins,Mets,3,4
2021-09-02,Red Sox,Rays,4,0
2021-09-02,Pirates,Cubs,5,6
2021-09-02,Indians,Royals,4,2
2021-09-02,Braves,Rockies,6,5
2021-09-01,Cardinals,Reds,5,4
2021-09-01,Rockies,Rangers,9,5
2021-09-01,Padres,Diamondbacks,3,8
2021-09-01,Astros,Mariners,0,1
2021-09-01,Cardinals,Reds,2,12
2021-09-01,Orioles,Blue Jays,4,5
2021-09-01,Yankees,Angels,4,1
2021-09-01,Red Sox,Rays,3,2
2021-09-01,Athletics,Trigers,6,8
2021-09-01,Pirates,White Sox,3,6
2021-09-01,Indians,Royals,5,3
2021-09-01,Cubs,twins,3,0
2021-08-31,Phillies,Nationals,12,6
2021-08-31,Orioles,Blue Jays,4,2
2021-08-31,Red Sox,Rays,5,8
2021-08-31,Athletics,Tigers,9,3
2021-08-31,Marlins,Mets,1,3
2021-08-31,Rockies,Rangers,3,4
2021-08-31,Cubs,Twins,3,1
2021-08-31,Pirates,White Sox,2,4
2021-08-31,Indians,Royals,7,2
2021-08-31,Yankees,Angels,4,6
2021-08-31,Padres,Diamondbacks,3,0
2021-08-31,Brewers,Giants,6,2
2021-08-31,Braves,Dodgers,2,3
2021-08-31,Astros,Mariners,0,4